,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer,age
5017,Graduate Degree,Clerical,M,S,0,2,0,0,11.3420541038,1,30.0
5018,Bachelors,Management,F,M,1,1,0,2,11.6249050263,1,48.0
5019,Graduate Degree,Manual,M,S,0,1,0,0,10.2255710517,0,37.0
5020,Graduate Degree,Skilled Manual,M,M,1,0,2,2,10.9067629944,1,61.0
5021,Bachelors,Management,F,M,1,3,0,0,11.5754400644,1,26.0
5022,High School,Skilled Manual,F,M,0,0,0,0,10.8725794414,0,18.0
5023,Bachelors,Professional,M,S,1,2,0,0,11.8143920924,0,34.0
5024,Partial College,Skilled Manual,F,M,1,1,1,2,11.0028329058,1,35.0
5025,Partial High School,Manual,M,S,0,0,0,0,10.3024314437,0,40.0
5026,Bachelors,Skilled Manual,M,M,0,1,0,0,10.9004730871,0,23.0
5027,Graduate Degree,Manual,F,S,1,0,1,1,10.4252531163,1,62.0
5028,Bachelors,Management,M,S,1,3,1,1,11.6084356248,1,51.0
5029,Graduate Degree,Professional,M,M,1,2,1,2,11.8184597345,1,27.0
5030,Graduate Degree,Manual,M,M,1,0,1,2,10.4579184938,1,56.0
5031,Graduate Degree,Clerical,M,S,0,3,0,0,11.3188794445,0,26.0
5032,Partial College,Skilled Manual,F,M,1,0,0,2,11.0125121116,1,41.0
5033,High School,Manual,M,M,1,0,0,2,10.3833486865,0,46.0
5034,Partial High School,Manual,F,S,1,1,1,1,10.2436316112,0,52.0
5035,Graduate Degree,Skilled Manual,F,M,1,1,1,2,10.8820204209,0,29.0
5036,Partial College,Manual,F,M,1,0,1,2,10.4796794797,1,45.0
5037,Bachelors,Management,M,S,1,3,0,0,11.63431975,1,33.0
5038,Bachelors,Clerical,M,M,1,1,1,2,11.2735127862,1,38.0
5039,High School,Skilled Manual,F,S,1,2,0,0,10.9192796688,1,39.0
5040,Partial College,Skilled Manual,M,S,0,1,0,0,11.0208398126,0,20.0
5041,Bachelors,Manual,M,M,1,1,0,2,10.3580602348,0,52.0
5042,Bachelors,Management,F,M,1,1,1,1,11.5596372804,1,38.0
5043,Graduate Degree,Management,F,S,0,1,0,0,11.6221116534,0,27.0
5044,Partial College,Manual,M,M,1,1,1,2,10.3530971296,0,46.0
5045,Partial College,Clerical,F,M,0,3,0,0,11.316691579,1,16.0
5046,Graduate Degree,Professional,F,M,1,1,0,2,11.8238381061,0,58.0
5047,Partial High School,Skilled Manual,F,S,0,1,0,0,10.9624577059,0,25.0
5048,Graduate Degree,Clerical,F,S,1,3,0,0,11.3361405526,1,38.0
5049,Graduate Degree,Management,M,S,1,3,0,1,11.5756373188,0,63.0
5050,High School,Clerical,M,S,1,1,0,0,11.2747317256,0,37.0
5051,Graduate Degree,Professional,F,M,1,3,1,2,11.8320407954,1,27.0
5052,Partial College,Skilled Manual,M,M,1,0,0,1,10.8815128782,1,45.0
5053,High School,Skilled Manual,F,M,1,0,1,2,10.9401357811,1,42.0
5054,Partial College,Clerical,F,M,1,2,1,2,11.3671826729,1,40.0
5055,Bachelors,Professional,M,S,0,2,0,0,11.7979690597,0,23.0
5056,Graduate Degree,Professional,F,M,1,2,0,0,11.8190047658,1,24.0
5057,Partial High School,Skilled Manual,M,M,1,0,1,2,10.9025741218,1,49.0
5058,Bachelors,Professional,F,S,1,3,0,0,11.7751666449,0,33.0
5059,Graduate Degree,Management,M,M,1,2,0,2,11.5771764448,0,43.0
5060,Partial College,Skilled Manual,F,S,0,2,0,0,10.8975538086,1,16.0
5061,Partial College,Skilled Manual,F,S,0,0,0,0,10.9084116786,1,23.0
5062,Partial College,Manual,M,S,0,0,0,0,10.419718541,1,21.0
5063,Bachelors,Manual,F,M,1,0,1,2,10.2039254228,0,51.0
5064,Graduate Degree,Skilled Manual,M,M,1,0,1,2,11.002133174,1,59.0
5065,Graduate Degree,Professional,M,M,1,3,0,2,11.8018267938,1,56.0
5066,High School,Manual,F,S,1,0,0,0,10.2295125492,0,45.0
5067,Partial College,Skilled Manual,F,M,1,1,1,1,10.9285968142,1,33.0
5068,Bachelors,Management,F,M,1,2,0,0,11.5845947517,0,22.0
5069,Bachelors,Management,M,M,1,1,0,2,11.5955371776,0,31.0
5070,Partial College,Management,F,S,1,3,0,0,11.5937494059,1,33.0
5071,Bachelors,Management,F,M,1,1,2,2,11.5766980679,1,37.0
5072,Bachelors,Management,F,S,1,2,0,0,11.5769325949,1,31.0
5073,High School,Manual,F,M,0,1,0,0,10.3915459589,0,20.0
5074,Bachelors,Clerical,F,S,0,0,0,0,11.2918797117,1,32.0
5075,High School,Skilled Manual,F,M,1,0,0,1,10.8958500414,0,35.0
5076,Bachelors,Professional,F,S,1,1,0,0,11.8268452971,0,32.0
5077,High School,Manual,F,S,0,1,0,0,10.178274337,0,40.0
5078,Bachelors,Clerical,F,S,0,1,0,0,11.3726168732,0,31.0
5079,High School,Manual,M,M,1,0,0,2,10.2413516772,0,36.0
5080,Bachelors,Manual,F,M,0,1,0,0,10.4968696449,0,17.0
5081,Partial High School,Skilled Manual,F,M,1,1,0,2,11.0065399692,1,50.0
5082,Partial College,Management,F,M,1,2,1,2,11.5761255909,1,38.0
5083,Partial College,Clerical,F,M,1,2,0,2,11.3463512651,1,42.0
5084,Partial College,Clerical,F,S,0,0,0,0,11.311641248,0,19.0
5085,High School,Manual,M,S,0,1,0,0,10.4469739585,1,25.0
5086,Partial College,Skilled Manual,F,M,1,1,1,1,10.9881361342,1,35.0
5087,Partial High School,Skilled Manual,M,M,1,1,0,2,10.9668352921,0,51.0
5088,High School,Clerical,M,M,1,2,1,1,11.2603016083,1,39.0
5089,Partial College,Skilled Manual,M,M,1,0,0,2,10.9600965937,0,40.0
5090,Partial College,Management,M,M,0,3,0,0,11.5537506595,1,18.0
5091,Graduate Degree,Manual,M,M,0,0,0,1,10.5175644691,1,25.0
5092,Bachelors,Skilled Manual,M,S,1,1,0,1,11.0202507784,1,54.0
5093,High School,Clerical,F,M,1,0,0,2,11.3379409263,1,50.0
5094,Partial College,Management,M,S,1,1,0,1,11.6104785821,1,63.0
5095,Bachelors,Management,F,M,1,2,0,0,11.6279045733,0,22.0
5096,Partial College,Skilled Manual,M,S,0,0,0,0,10.994638743,1,32.0
5097,High School,Skilled Manual,F,S,0,1,0,0,10.8928614459,0,31.0
5098,Partial College,Skilled Manual,F,M,1,2,1,2,10.983205801,1,48.0
5099,Partial High School,Skilled Manual,F,S,0,1,0,0,10.8692729623,0,21.0
5100,Bachelors,Clerical,F,S,0,1,0,0,11.2620766426,0,28.0
5101,High School,Skilled Manual,M,M,0,0,0,0,11.0053944082,0,21.0
5102,Partial College,Clerical,F,M,1,3,1,1,11.2932010617,1,33.0
5103,Partial College,Skilled Manual,M,M,1,2,1,2,10.917920813,1,44.0
5104,Partial College,Skilled Manual,F,M,1,0,1,2,10.9009526592,1,39.0
5105,Bachelors,Clerical,M,S,0,3,0,0,11.3136693241,1,28.0
5106,High School,Manual,F,M,0,1,0,0,10.1735910227,0,17.0
5107,Partial College,Skilled Manual,F,S,0,1,0,0,10.8481713589,0,33.0
5108,High School,Skilled Manual,F,S,1,1,0,0,11.0208725265,0,39.0
5109,Partial College,Clerical,F,S,0,1,0,0,11.2528844996,0,22.0
5110,Bachelors,Professional,F,S,1,0,1,1,11.781623475,1,55.0
5111,Graduate Degree,Professional,F,S,0,3,0,0,11.825770771,1,22.0
5112,Partial High School,Skilled Manual,F,S,1,1,0,0,10.9811996118,0,39.0
5113,Bachelors,Professional,M,M,1,1,1,1,11.7649907224,1,29.0
5114,Bachelors,Skilled Manual,M,S,0,1,0,0,10.9244085335,0,34.0
5115,Graduate Degree,Management,M,S,1,3,0,0,11.5768575523,0,30.0
5116,Graduate Degree,Clerical,M,M,1,1,1,1,11.2744017429,1,31.0
5117,Bachelors,Management,M,S,1,3,1,1,11.6037711483,1,58.0
5118,Graduate Degree,Skilled Manual,F,M,0,0,0,2,10.9413054133,1,24.0
5119,Partial High School,Manual,F,M,1,1,0,2,10.325777001,0,47.0
5120,High School,Skilled Manual,M,M,1,2,0,2,10.9027398051,1,36.0
5121,Partial College,Management,F,M,1,1,0,0,11.5477615798,0,21.0
5122,Partial College,Skilled Manual,M,M,1,1,1,1,10.9679051431,1,41.0
5123,High School,Skilled Manual,M,S,0,2,0,0,11.0391868694,0,18.0
5124,High School,Clerical,F,M,1,2,1,1,11.3114088563,1,44.0
5125,Bachelors,Clerical,F,M,1,1,0,2,11.3524984635,0,51.0
5126,High School,Clerical,F,M,1,1,0,1,11.2605333133,1,26.0
5127,Bachelors,Clerical,M,S,1,2,0,0,11.2579945049,1,35.0
5128,Graduate Degree,Skilled Manual,M,M,1,1,1,2,10.9133779111,1,37.0
5129,Graduate Degree,Skilled Manual,F,S,0,1,0,0,11.0137648727,0,25.0
5130,Partial College,Management,M,M,0,0,0,0,11.6359569257,1,16.0
5131,High School,Skilled Manual,F,M,1,1,1,2,11.0130232958,1,41.0
5132,Partial High School,Skilled Manual,F,S,0,1,0,0,10.937347964,0,26.0
5133,Partial College,Manual,M,S,1,1,0,0,10.2346241514,0,44.0
5134,Graduate Degree,Skilled Manual,F,M,0,1,1,1,10.9113907269,1,28.0
5135,Graduate Degree,Professional,M,M,1,2,0,0,11.8102261301,0,31.0
5136,Partial College,Skilled Manual,M,S,0,1,0,0,10.9951927085,0,27.0
5137,Bachelors,Clerical,M,S,0,1,0,0,11.2776460713,1,33.0
5138,Bachelors,Manual,F,S,0,0,0,0,10.2758438981,0,36.0
5139,Bachelors,Clerical,M,S,0,0,0,0,11.2978616842,1,29.0
5140,Graduate Degree,Management,M,M,1,2,0,0,11.6107778651,1,25.0
5141,Graduate Degree,Manual,M,M,0,0,1,1,10.4707596701,1,26.0
5142,Bachelors,Clerical,M,S,1,2,0,0,11.353073564,1,39.0
5143,Partial High School,Skilled Manual,F,M,0,0,0,1,10.8849478564,1,25.0
5144,Graduate Degree,Professional,F,M,1,1,0,1,11.8101369876,0,28.0
5145,High School,Clerical,F,S,1,2,0,1,11.3390362558,0,52.0
5146,Bachelors,Management,M,M,1,0,1,2,11.5623915911,1,57.0
5147,Graduate Degree,Management,M,M,1,3,0,3,11.6161947956,1,56.0
5148,Graduate Degree,Clerical,F,M,1,2,1,2,11.3232771328,1,27.0
5149,Graduate Degree,Management,M,M,1,2,1,2,11.591237445,1,39.0
5150,Graduate Degree,Management,F,S,1,3,0,0,11.6056778309,0,30.0
5151,Bachelors,Clerical,M,M,1,1,0,1,11.2808925198,0,26.0
5152,Partial College,Manual,M,M,0,0,0,0,10.4264097172,1,23.0
5153,Bachelors,Professional,F,M,1,2,0,0,11.835030703,1,26.0
5154,High School,Skilled Manual,M,M,0,2,0,1,10.9642768175,0,24.0
5155,Graduate Degree,Manual,M,S,0,0,0,0,10.2049985629,0,33.0
5156,Graduate Degree,Professional,M,S,1,2,1,1,11.7605196484,1,61.0
5157,Partial High School,Skilled Manual,M,S,0,1,0,0,10.8757804745,0,23.0
5158,High School,Clerical,M,S,0,0,0,0,11.3034382401,0,24.0
5159,Bachelors,Management,M,S,1,2,0,0,11.5933803954,1,38.0
5160,Partial College,Skilled Manual,M,S,0,0,0,0,10.9522791462,1,28.0
5161,Partial College,Skilled Manual,M,M,1,1,1,2,10.9046707514,1,35.0
5162,High School,Clerical,M,S,0,2,0,0,11.3336911378,1,31.0
5163,Graduate Degree,Clerical,M,M,1,3,2,2,11.3081374159,1,25.0
5164,High School,Manual,F,M,0,0,0,1,10.4594968449,0,30.0
5165,Graduate Degree,Clerical,M,M,1,1,1,1,11.327559278,1,29.0
5166,Partial High School,Skilled Manual,M,S,0,1,0,0,10.8982382017,1,32.0
5167,Graduate Degree,Professional,M,M,1,2,1,2,11.7845772359,1,57.0
5168,Partial College,Skilled Manual,F,S,0,2,0,0,10.9368677463,0,25.0
5169,Partial High School,Manual,M,S,0,1,0,0,10.2207405631,0,23.0
5170,Graduate Degree,Management,M,M,1,1,0,1,11.5821716377,0,25.0
5171,Partial College,Manual,F,S,0,1,0,0,10.315034131,0,21.0
5172,High School,Skilled Manual,F,S,1,2,0,0,10.8468680216,0,45.0
5173,Bachelors,Professional,M,S,1,2,0,0,11.8143699002,1,33.0
5174,Partial College,Management,M,M,1,3,0,2,11.6372824007,1,32.0
5175,Partial College,Clerical,F,M,1,2,0,2,11.2479046751,1,47.0
5176,Partial College,Clerical,F,M,1,2,2,2,11.3710968886,1,26.0
5177,Partial High School,Manual,F,M,0,0,0,0,10.378851788,0,24.0
5178,High School,Manual,M,S,0,0,0,0,10.4896061603,0,25.0
5179,Partial High School,Manual,F,M,1,1,0,2,10.4681761662,0,48.0
5180,High School,Skilled Manual,M,S,1,1,0,0,11.0099853355,1,40.0
5181,High School,Skilled Manual,F,M,1,0,1,2,10.8854911158,1,39.0
5182,Partial College,Management,M,M,1,0,0,2,11.6302550645,1,40.0
5183,Partial College,Skilled Manual,M,S,0,1,0,0,10.8725225257,0,22.0
5184,Partial College,Clerical,F,M,1,0,0,1,11.3614046573,0,32.0
5185,Bachelors,Skilled Manual,F,M,0,1,1,2,10.9871384761,1,24.0
5186,High School,Clerical,M,M,1,1,2,2,11.2869403803,1,40.0
5187,High School,Skilled Manual,M,M,1,1,0,2,11.0342927117,1,42.0
5188,Graduate Degree,Professional,M,M,1,1,1,2,11.8138445405,1,28.0
5189,Graduate Degree,Skilled Manual,M,S,0,1,0,0,10.9484880718,0,27.0
5190,Partial College,Manual,M,M,0,1,1,2,10.3380582858,1,28.0
5191,Bachelors,Clerical,M,S,0,2,0,0,11.3762806593,1,32.0
5192,Bachelors,Manual,F,S,0,1,0,0,10.1885161075,0,33.0
5193,High School,Skilled Manual,M,S,0,2,0,0,11.0373382766,1,26.0
5194,Partial College,Skilled Manual,M,S,0,1,0,0,10.8678062534,0,29.0
5195,Graduate Degree,Management,F,M,1,3,0,0,11.5693814099,1,38.0
5196,High School,Manual,F,S,0,1,0,0,10.3995243588,0,23.0
5197,Partial College,Clerical,M,S,1,1,0,0,11.3723061552,0,34.0
5198,High School,Clerical,M,S,0,2,0,0,11.2878174854,1,27.0
5199,Partial College,Clerical,F,M,1,0,0,2,11.2967451142,0,43.0
5200,Graduate Degree,Clerical,M,M,1,2,0,2,11.252313664,1,38.0
5201,Bachelors,Skilled Manual,M,S,0,0,0,0,11.0388174241,1,28.0
5202,Graduate Degree,Manual,M,M,0,1,0,1,10.3604059422,1,25.0
5203,High School,Skilled Manual,M,M,1,1,1,2,10.8890431189,1,40.0
5204,Partial College,Management,M,S,0,0,0,0,11.5979924529,1,19.0
5205,High School,Skilled Manual,M,M,1,1,0,2,10.9001778515,1,52.0
5206,Graduate Degree,Skilled Manual,F,M,0,1,0,1,10.9052217662,0,27.0
5207,Bachelors,Professional,M,M,1,1,1,2,11.8030994301,1,43.0
5208,Bachelors,Skilled Manual,F,M,1,0,1,2,10.9270888974,1,38.0
5209,Partial High School,Manual,F,M,1,0,0,2,10.2163255449,0,47.0
5210,Bachelors,Skilled Manual,F,M,0,2,0,0,10.9361024787,0,23.0
5211,Bachelors,Clerical,M,M,1,2,1,2,11.2674723967,1,26.0
5212,Bachelors,Manual,F,M,0,0,1,2,10.417567874,1,32.0
5213,Bachelors,Skilled Manual,M,M,1,1,1,2,10.9146338154,1,52.0
5214,Partial College,Clerical,F,M,1,3,1,2,11.3480390293,1,44.0
5215,Partial College,Manual,M,M,0,1,0,0,10.2068830204,0,18.0
5216,Graduate Degree,Skilled Manual,M,S,0,2,0,0,10.8651530991,0,30.0
5217,Graduate Degree,Skilled Manual,M,M,1,0,1,2,10.9317846673,1,43.0
5218,Bachelors,Clerical,M,S,0,2,0,0,11.2658221575,0,31.0
5219,Bachelors,Skilled Manual,F,M,1,1,1,2,10.9426859445,1,32.0
5220,Bachelors,Skilled Manual,M,S,0,2,0,0,10.8762531313,1,30.0
5221,High School,Manual,M,M,1,1,1,2,10.4823175594,0,39.0
5222,Partial High School,Skilled Manual,F,M,1,2,0,2,10.9025741218,1,49.0
5223,Partial College,Skilled Manual,M,M,1,1,2,2,10.9780803354,1,45.0
5224,Graduate Degree,Skilled Manual,F,S,1,0,0,1,10.9017268671,1,64.0
5225,Graduate Degree,Skilled Manual,M,M,0,0,1,2,11.0238939482,1,27.0
5226,High School,Skilled Manual,F,M,1,1,1,2,10.9652629512,1,45.0
5227,High School,Skilled Manual,F,M,1,1,2,2,10.8669480889,1,49.0
5228,Partial High School,Manual,F,S,0,0,0,0,10.3047103414,0,23.0
5229,Partial College,Manual,F,S,0,0,0,0,10.4308752646,0,35.0
5230,Partial High School,Manual,M,S,0,0,0,0,10.3760504042,0,41.0
5231,Bachelors,Skilled Manual,F,M,1,2,1,2,11.0228334076,1,49.0
5232,Bachelors,Management,F,S,0,1,0,0,11.5398205284,0,23.0
5233,Partial College,Clerical,F,S,0,0,0,0,11.243803418,1,25.0
5234,Graduate Degree,Clerical,M,M,1,0,1,1,11.3185637151,1,24.0
5235,Bachelors,Manual,M,S,0,1,0,0,10.3044759886,0,28.0
5236,Partial College,Manual,M,S,0,0,0,0,10.477935653,1,22.0
5237,Bachelors,Management,F,M,1,1,0,1,11.5895068044,0,28.0
5238,Bachelors,Management,F,S,1,1,0,0,11.5502212497,0,34.0
5239,High School,Clerical,M,S,1,2,0,0,11.3599840537,1,36.0
5240,Bachelors,Clerical,M,S,1,3,1,1,11.3606247396,1,56.0
5241,Bachelors,Management,M,S,1,3,0,0,11.5838870639,1,29.0
5242,Partial High School,Skilled Manual,F,S,1,0,1,1,10.934873266,1,51.0
5243,Partial College,Skilled Manual,M,S,0,1,0,0,10.8537738317,0,33.0
5244,High School,Skilled Manual,M,M,0,2,0,0,11.0214285,1,21.0
5245,Bachelors,Skilled Manual,M,M,1,1,2,2,11.03493805,1,32.0
5246,Graduate Degree,Professional,M,M,1,2,0,0,11.7722157789,1,25.0
5247,Partial College,Skilled Manual,F,M,1,0,0,2,10.9604615414,0,31.0
5248,Partial High School,Manual,F,S,0,1,0,0,10.3157296449,0,42.0
5249,Bachelors,Clerical,M,M,1,3,0,2,11.2974276107,1,71.0
5250,Partial College,Clerical,M,S,1,2,0,0,11.294172262,1,36.0
5251,Graduate Degree,Professional,F,M,1,2,0,0,11.7785536279,1,28.0
5252,Graduate Degree,Professional,F,M,1,3,2,2,11.7796800777,1,56.0
5253,Graduate Degree,Skilled Manual,F,M,1,2,1,2,10.9333390856,1,30.0
5254,Bachelors,Clerical,M,S,0,2,0,0,11.3155593035,1,32.0
5255,Partial College,Skilled Manual,M,S,0,0,0,0,11.0068717707,1,26.0
5256,Partial College,Clerical,M,S,1,0,0,0,11.3025747355,1,42.0
5257,Partial College,Skilled Manual,F,M,1,0,1,1,10.9392487844,1,38.0
5258,Partial College,Clerical,F,M,1,3,0,2,11.2890941772,1,46.0
5259,High School,Clerical,F,S,0,2,0,0,11.2953165692,1,17.0
5260,Bachelors,Management,F,M,1,3,0,2,11.6230526022,0,31.0
5261,High School,Clerical,F,M,1,1,0,1,11.3675181172,0,46.0
5262,Graduate Degree,Management,F,M,1,0,1,2,11.5392362798,1,62.0
5263,Graduate Degree,Professional,F,S,1,1,0,0,11.7567575256,0,38.0
5264,High School,Skilled Manual,F,M,1,0,1,2,10.9282738806,1,52.0
5265,High School,Clerical,F,S,0,1,0,0,11.273449259,0,19.0
5266,Partial College,Management,F,S,0,0,0,0,11.6057325146,1,16.0
5267,Graduate Degree,Professional,F,M,1,1,0,1,11.7905041699,0,27.0
5268,Bachelors,Clerical,F,S,1,1,0,0,11.256819576,0,35.0
5269,Bachelors,Skilled Manual,F,M,1,1,1,2,11.0286606264,1,31.0
5270,Partial College,Skilled Manual,F,M,1,2,0,1,11.0147198726,0,35.0
5271,Partial College,Clerical,M,S,0,0,0,0,11.3200564791,1,34.0
5272,High School,Clerical,M,S,1,1,0,0,11.3647502299,1,35.0
5273,High School,Manual,M,S,0,0,0,0,10.4903571304,1,36.0
5274,Bachelors,Clerical,M,S,1,3,0,0,11.3170687194,1,35.0
5275,High School,Manual,F,M,1,1,1,2,10.4945189476,1,36.0
5276,Bachelors,Clerical,F,M,0,0,0,0,11.2541806424,1,22.0
5277,Graduate Degree,Management,M,M,1,2,0,0,11.5686439537,1,28.0
5278,Bachelors,Clerical,F,M,1,2,1,2,11.3363434057,1,32.0
5279,Partial College,Clerical,F,S,0,0,0,0,11.3083951084,0,27.0
5280,Partial College,Management,F,M,1,2,1,2,11.5652901852,1,39.0
5281,Bachelors,Management,F,M,1,3,1,2,11.57156223,1,38.0
5282,Graduate Degree,Professional,F,S,1,2,0,0,11.7827846491,1,30.0
5283,Partial College,Clerical,F,S,0,0,0,0,11.3050645372,1,29.0
5284,Graduate Degree,Professional,F,S,1,2,0,0,11.8086649888,1,43.0
5285,High School,Manual,F,S,1,1,0,1,10.4330564191,0,50.0
5286,Graduate Degree,Clerical,M,M,1,3,1,1,11.3280767175,1,25.0
5287,Partial College,Skilled Manual,F,M,1,2,1,2,11.0134847861,1,46.0
5288,High School,Skilled Manual,M,S,0,2,0,0,10.9796667573,1,33.0
5289,Partial College,Skilled Manual,F,S,0,2,0,0,10.8665473599,1,35.0
5290,Bachelors,Management,F,S,0,0,0,0,11.5644927218,1,20.0
5291,Partial High School,Manual,M,S,0,0,0,0,10.3613553394,0,24.0
5292,High School,Clerical,F,S,0,1,0,0,11.2644897464,0,20.0
5293,Partial College,Manual,M,S,0,0,0,0,10.3203870383,1,33.0
5294,High School,Manual,M,M,1,0,1,2,10.2249549199,0,48.0
5295,Partial College,Manual,M,S,0,1,0,0,10.2299816008,0,22.0
5296,Graduate Degree,Management,F,M,1,1,1,1,11.5514247641,1,25.0
5297,Bachelors,Skilled Manual,M,M,0,2,0,0,10.9804505098,0,23.0
5298,High School,Manual,F,M,1,1,1,2,10.2365611632,0,48.0
5299,Bachelors,Manual,F,M,0,0,0,1,10.2900076655,0,33.0
5300,High School,Skilled Manual,M,S,0,1,0,0,11.0102333411,0,28.0
5301,Graduate Degree,Management,M,M,1,3,2,2,11.5906824855,1,38.0
5302,Bachelors,Professional,M,S,1,3,0,0,11.8030919487,1,38.0
5303,Partial College,Clerical,M,M,1,2,0,2,11.2835374576,1,46.0
5304,Bachelors,Management,F,S,0,2,0,0,11.55739201,1,20.0
5305,Partial College,Manual,F,M,1,1,2,2,10.3185068734,0,36.0
5306,High School,Skilled Manual,F,M,1,2,0,2,11.0203817049,1,29.0
5307,Partial High School,Skilled Manual,M,M,1,2,2,2,10.8700720795,1,40.0
5308,Graduate Degree,Manual,F,S,0,1,0,0,10.2653142036,0,30.0
5309,Bachelors,Management,F,M,1,2,1,2,11.5535682434,1,38.0
5310,Partial High School,Manual,F,M,0,1,0,2,10.4370819884,0,24.0
5311,Bachelors,Clerical,F,S,1,1,0,1,11.3195712718,0,56.0
5312,Bachelors,Management,F,M,1,3,0,0,11.5988737771,0,30.0
5313,High School,Skilled Manual,F,S,1,1,0,0,10.8694632862,0,41.0
5314,Partial College,Manual,F,S,0,0,0,0,10.2208133751,0,17.0
5315,High School,Clerical,F,M,1,1,1,2,11.3755007891,1,47.0
5316,Bachelors,Clerical,M,M,1,2,0,2,11.3557803062,0,31.0
5317,Partial College,Management,M,S,1,1,0,0,11.6179519248,1,37.0
5318,Graduate Degree,Clerical,M,M,1,1,0,2,11.355394077,0,27.0
5319,Partial College,Clerical,M,S,0,0,0,0,11.2737033434,1,24.0
5320,Partial College,Clerical,F,S,1,1,0,0,11.2720760865,0,37.0
5321,Bachelors,Management,F,M,1,1,1,1,11.5981118443,1,26.0
5322,High School,Skilled Manual,F,S,1,1,0,0,10.9713141199,0,39.0
5323,Partial College,Clerical,F,S,1,1,0,0,11.3701284213,0,34.0
5324,Bachelors,Clerical,F,S,0,3,0,0,11.3535427888,1,18.0
5325,High School,Skilled Manual,M,S,0,2,0,0,10.9942524643,0,27.0
5326,Partial College,Management,M,M,1,3,1,1,11.6382003664,1,39.0
5327,Partial High School,Skilled Manual,F,M,1,2,1,2,10.989757318,1,47.0
5328,Partial College,Manual,M,M,1,1,1,2,10.5182136266,1,53.0
5329,Graduate Degree,Manual,F,S,0,0,0,0,10.1718721201,0,25.0
5330,Partial College,Management,F,S,1,2,0,0,11.5889045427,1,44.0
5331,Bachelors,Skilled Manual,F,S,0,0,0,0,11.0242526458,1,29.0
5332,Graduate Degree,Skilled Manual,F,M,0,1,0,0,11.0021831711,1,23.0
5333,Bachelors,Skilled Manual,M,M,0,1,0,1,10.9397810768,0,28.0
5334,Graduate Degree,Clerical,M,M,1,3,0,2,11.2951922513,0,61.0
5335,Bachelors,Management,M,S,1,0,0,0,11.5885708262,1,33.0
5336,High School,Skilled Manual,M,M,1,0,1,1,11.0053113455,1,35.0
5337,High School,Manual,F,M,1,1,0,2,10.3390614734,0,42.0
5338,Graduate Degree,Clerical,F,S,0,3,0,0,11.2968320033,1,27.0
5339,Bachelors,Skilled Manual,F,S,0,1,0,0,10.8791032385,0,20.0
5340,Bachelors,Clerical,F,S,1,2,0,0,11.2464828955,1,37.0
5341,High School,Skilled Manual,F,M,0,1,0,0,10.976850407,0,21.0
5342,Partial College,Management,M,S,0,2,0,0,11.5998735066,1,28.0
5343,Bachelors,Clerical,F,M,1,1,1,2,11.3150597208,1,48.0
5344,High School,Manual,F,S,0,1,0,0,10.4691138128,0,40.0
5345,Bachelors,Professional,F,S,1,3,0,0,11.7634740445,1,38.0
5346,Partial High School,Manual,M,S,1,0,0,0,10.2523470352,0,47.0
5347,Graduate Degree,Clerical,M,S,0,1,0,0,11.3061841584,0,30.0
5348,Partial College,Management,M,S,1,3,0,1,11.5462925405,0,61.0
5349,Bachelors,Skilled Manual,M,S,0,2,0,0,10.9145428609,1,28.0
5350,High School,Skilled Manual,F,S,0,2,0,0,10.9825601793,0,31.0
5351,Bachelors,Clerical,M,M,1,1,1,2,11.3398688557,1,31.0
5352,High School,Skilled Manual,F,M,1,2,1,2,10.9916285413,1,34.0
5353,Partial High School,Skilled Manual,F,M,1,1,1,2,10.8498806282,1,39.0
5354,Partial College,Skilled Manual,M,M,1,1,0,2,10.991140001,0,47.0
5355,Bachelors,Clerical,M,S,0,3,0,0,11.3316074045,0,31.0
5356,Bachelors,Management,F,M,1,1,0,2,11.6142719351,0,28.0
5357,Partial High School,Skilled Manual,M,S,0,2,0,0,10.9297083438,1,22.0
5358,Partial High School,Skilled Manual,M,S,0,1,0,0,10.881400056,0,17.0
5359,Partial College,Management,M,M,1,2,0,2,11.6330258136,1,37.0
5360,Graduate Degree,Management,M,M,1,2,0,0,11.5963746716,1,29.0
5361,Partial High School,Manual,F,S,0,1,0,0,10.2825402367,0,25.0
5362,Graduate Degree,Clerical,F,S,1,1,0,0,11.3766589066,0,38.0
5363,Partial College,Manual,F,M,0,1,0,1,10.1649283138,0,32.0
5364,Partial College,Management,F,M,1,2,1,1,11.6173395329,1,41.0
5365,Partial College,Skilled Manual,F,S,0,1,0,0,10.9711422277,0,23.0
5366,Partial College,Management,M,M,1,1,0,2,11.6154549771,0,44.0
5367,Partial High School,Skilled Manual,M,M,1,1,1,2,10.8846854876,1,40.0
5368,Bachelors,Skilled Manual,M,M,1,2,1,2,11.0175465902,1,56.0
5369,Bachelors,Clerical,M,M,1,3,0,2,11.2730425897,0,54.0
5370,Partial College,Clerical,M,M,1,3,0,2,11.2731061426,1,31.0
5371,High School,Skilled Manual,M,S,0,2,0,0,11.0009491794,1,18.0
5372,Graduate Degree,Clerical,F,M,1,3,1,2,11.2940353549,1,28.0
5373,Bachelors,Management,F,M,1,1,1,1,11.5454507367,1,24.0
5374,High School,Clerical,M,M,1,1,0,1,11.2937614846,1,36.0
