,City,StateProvinceName,CountryRegionName,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer,AvgMonthSpend,age,year,month,day
1012,Newton,British Columbia,Canada,1983-04-07,Partial College,Clerical,F,S,0,0,0,0,78244,1,53.2,33.0,1983,4,7
1013,Bellingham,Washington,United States,1998-02-02,Partial College,Manual,F,S,0,0,0,0,35737,0,48.11,19.0,1998,2,2
1014,Yakima,Washington,United States,1978-05-14,Graduate Degree,Management,M,M,1,2,0,2,110243,0,54.82,38.0,1978,5,14
1015,York,England,United Kingdom,1967-08-13,Partial High School,Skilled Manual,M,S,1,1,1,1,61418,1,50.16,49.0,1967,8,13
1016,Poing,Saarland,Germany,1989-09-14,Bachelors,Clerical,F,S,0,0,0,0,81301,0,51.11,27.0,1989,9,14
1017,Walla Walla,Washington,United States,1956-03-03,Graduate Degree,Skilled Manual,M,S,1,2,1,1,52770,1,52.09,61.0,1956,3,3
1018,North Ryde,New South Wales,Australia,1990-10-05,Partial High School,Skilled Manual,F,S,0,0,0,0,58618,1,50.6,26.0,1990,10,5
1019,Brisbane,Queensland,Australia,1973-12-07,Partial College,Skilled Manual,F,M,1,1,0,2,57155,0,49.07,43.0,1973,12,7
1020,Lynnwood,Washington,United States,1972-10-04,Partial High School,Manual,M,M,1,0,0,2,26385,0,48.14,44.0,1972,10,4
1021,Sooke,British Columbia,Canada,1974-09-19,Partial High School,Skilled Manual,M,M,1,0,0,2,57535,1,53.29,42.0,1974,9,19
1022,Rhodes,New South Wales,Australia,1998-11-26,Partial College,Clerical,M,S,0,0,0,0,79929,1,52.01,18.0,1998,11,26
1023,Billericay,England,United Kingdom,1974-06-26,Partial College,Skilled Manual,F,S,1,1,0,0,51875,0,51.12,42.0,1974,6,26
1024,Grossmont,California,United States,1987-09-08,Graduate Degree,Professional,F,S,1,2,0,0,129137,1,52.31,29.0,1987,9,8
1025,London,England,United Kingdom,1976-05-22,Partial College,Management,F,M,1,2,0,2,106385,1,50.91,40.0,1976,5,22
1026,York,England,United Kingdom,1975-07-03,Partial College,Skilled Manual,M,M,1,1,2,2,59135,1,52.7,41.0,1975,7,3
1027,Everett,Washington,United States,1986-04-19,Graduate Degree,Management,F,M,1,1,1,2,108380,1,55.23,30.0,1986,4,19
1028,Berlin,Saarland,Germany,1982-09-26,Bachelors,Management,F,M,1,1,1,1,103452,1,51.7,34.0,1982,9,26
1029,Saint Ouen,Charente-Maritime,France,1990-06-08,Bachelors,Professional,F,M,1,3,0,0,127338,1,51.72,26.0,1990,6,8
1030,Oak Bay,British Columbia,Canada,1983-06-27,Partial College,Clerical,M,M,1,0,0,2,85702,1,58.36,33.0,1983,6,27
1031,Ballard,Washington,United States,1998-05-07,High School,Manual,F,M,0,1,0,0,33737,0,46.13,18.0,1998,5,7
1032,Townsville,Queensland,Australia,1978-06-06,Bachelors,Skilled Manual,F,M,1,1,1,2,58365,0,52.39,38.0,1978,6,6
1033,Watford,England,United Kingdom,1993-10-23,Partial College,Clerical,M,S,0,2,0,0,83113,1,51.93,23.0,1993,10,23
1034,Spring Valley,California,United States,1970-05-15,Bachelors,Manual,M,S,1,1,0,0,27516,0,54.18,46.0,1970,5,15
1035,Palo Alto,California,United States,1976-02-12,Partial College,Manual,M,M,1,1,1,2,29891,0,53.17,41.0,1976,2,12
1036,Beaverton,Oregon,United States,1980-03-11,High School,Clerical,F,S,1,0,0,0,84114,1,50.56,37.0,1980,3,11
1037,Lieusaint,Seine et Marne,France,1967-08-09,Partial High School,Manual,F,M,1,1,1,2,31285,0,49.26,49.0,1967,8,9
1038,Darlinghurst,New South Wales,Australia,1982-10-05,Partial College,Skilled Manual,M,M,1,0,1,1,54758,1,60.87,34.0,1982,10,5
1039,Malabar,New South Wales,Australia,1964-11-25,High School,Manual,M,S,1,1,0,1,28228,0,46.32,52.0,1964,11,25
1040,Saint Germain en Laye,Yveline,France,1996-11-25,High School,Skilled Manual,M,S,0,2,0,0,61167,0,53.51,20.0,1996,11,25
1041,Bremerton,Washington,United States,1987-05-03,Bachelors,Management,M,S,1,3,0,0,113208,0,52.88,29.0,1987,5,3
1042,Coffs Harbour,New South Wales,Australia,1994-11-05,High School,Skilled Manual,M,M,0,2,0,0,52397,0,47.81,22.0,1994,11,5
1043,Gold Coast,Queensland,Australia,1998-08-20,High School,Manual,M,S,0,1,0,0,30285,0,48.83,18.0,1998,8,20
1044,Lebanon,Oregon,United States,1992-07-01,Graduate Degree,Management,M,S,0,3,0,0,109290,1,52.02,24.0,1992,7,1
1045,Bremerton,Washington,United States,1976-07-19,Partial College,Manual,M,M,1,1,0,1,35694,0,53.14,40.0,1976,7,19
1046,Milwaukie,Oregon,United States,2000-11-01,High School,Skilled Manual,M,S,0,2,0,0,61705,0,51.03,16.0,2000,11,1
1047,Townsville,Queensland,Australia,1999-09-13,Bachelors,Skilled Manual,M,M,0,0,0,0,58132,1,48.79,17.0,1999,9,13
1048,Oakland,California,United States,2000-02-12,High School,Skilled Manual,F,S,0,0,0,0,61880,1,52.06,17.0,2000,2,12
1049,Seattle,Washington,United States,1974-10-24,Partial High School,Skilled Manual,F,S,1,1,0,0,59267,0,50.62,42.0,1974,10,24
1050,Cranbourne,Victoria,Australia,1998-05-04,Partial College,Manual,M,M,0,0,0,0,27851,0,45.39,18.0,1998,5,4
1051,Bendigo,Victoria,Australia,1982-12-26,Bachelors,Manual,M,M,1,0,0,2,29206,0,45.95,34.0,1982,12,26
1052,Drancy,Seine Saint Denis,France,1995-02-11,Partial High School,Manual,F,M,0,0,0,0,31162,0,45.82,22.0,1995,2,11
1053,Poing,Saarland,Germany,1970-04-02,Partial College,Management,F,S,1,2,0,0,107774,1,52.08,46.0,1970,4,2
1054,Port Macquarie,New South Wales,Australia,1982-04-18,Partial College,Management,F,S,1,2,0,0,106232,0,51.4,34.0,1982,4,18
1055,Bottrop,Nordrhein-Westfalen,Germany,1984-07-16,High School,Skilled Manual,F,S,0,0,0,0,53255,0,47.87,32.0,1984,7,16
1056,Chula Vista,California,United States,1998-02-27,Partial College,Skilled Manual,F,S,0,0,0,0,52836,1,50.37,19.0,1998,2,27
1057,Maidenhead,England,United Kingdom,2000-01-06,Partial High School,Manual,M,S,0,0,0,0,29463,0,48.48,17.0,2000,1,6
1058,Beverly Hills,California,United States,1958-08-16,Bachelors,Clerical,M,M,1,3,1,2,77538,1,54.12,58.0,1958,8,16
1059,Redwood City,California,United States,1991-08-11,Graduate Degree,Professional,M,M,1,2,0,0,138782,0,52.7,25.0,1991,8,11
1060,Chula Vista,California,United States,1949-09-20,Partial College,Management,F,M,1,0,2,2,112835,1,52.97,67.0,1949,9,20
1061,Maidenhead,England,United Kingdom,1988-09-21,Partial College,Skilled Manual,M,S,0,1,0,0,55150,0,48.31,28.0,1988,9,21
1062,Renton,Washington,United States,1973-05-26,Graduate Degree,Manual,M,M,1,1,1,2,27605,0,51.28,43.0,1973,5,26
1063,Chula Vista,California,United States,1999-09-13,Partial College,Management,M,M,0,1,0,0,110922,0,50.99,17.0,1999,9,13
1064,Seaford,Victoria,Australia,1984-07-22,Bachelors,Clerical,M,S,0,2,0,0,84774,1,62.68,32.0,1984,7,22
1065,Wollongong,New South Wales,Australia,1979-11-27,Bachelors,Manual,M,M,1,1,0,1,34517,0,48.07,37.0,1979,11,27
1066,Chula Vista,California,United States,1962-11-24,Graduate Degree,Professional,M,M,1,2,1,2,128907,1,53.39,54.0,1962,11,24
1067,Lane Cove,New South Wales,Australia,1996-04-03,Bachelors,Management,M,M,1,2,0,0,113017,1,51.66,20.0,1996,4,3
1068,Paris,Seine (Paris),France,1978-06-14,Partial College,Management,F,M,1,2,1,2,105850,1,51.43,38.0,1978,6,14
1069,Mill Valley,California,United States,1987-06-15,Graduate Degree,Professional,F,S,1,3,0,0,129082,1,54.24,29.0,1987,6,15
1070,Langley,British Columbia,Canada,1988-07-28,Bachelors,Management,M,M,1,1,1,1,102788,1,54.74,28.0,1988,7,28
1071,Hobart,Tasmania,Australia,1989-11-27,Graduate Degree,Management,M,S,0,2,0,0,103989,0,52.92,27.0,1989,11,27
1072,Bellflower,California,United States,1978-02-24,Partial College,Manual,M,S,0,1,0,0,34608,1,51.59,39.0,1978,2,24
1073,Santa Monica,California,United States,1980-11-01,Partial College,Manual,F,M,1,1,0,1,31244,0,45.25,36.0,1980,11,1
1074,Berks,England,United Kingdom,1977-03-04,Partial College,Skilled Manual,M,M,1,0,0,2,59461,1,56.17,40.0,1977,3,4
1075,Bremerton,Washington,United States,1989-02-25,Graduate Degree,Clerical,F,M,1,3,1,2,77643,1,51.23,28.0,1989,2,25
1076,Saint Germain en Laye,Yveline,France,1988-02-13,Partial College,Skilled Manual,F,S,0,0,0,0,56317,1,50.96,29.0,1988,2,13
1077,London,England,United Kingdom,1999-01-08,Partial College,Clerical,M,S,0,3,0,0,77903,0,51.21,18.0,1999,1,8
1078,N. Vancouver,British Columbia,Canada,1962-03-02,Bachelors,Manual,M,M,1,1,0,2,29296,0,45.01,55.0,1962,3,2
1079,Oakland,California,United States,1987-08-27,Bachelors,Management,M,M,1,2,0,0,111608,1,51.4,29.0,1987,8,27
1080,Seattle,Washington,United States,1990-01-06,Bachelors,Management,F,M,1,1,1,1,110012,0,55.11,27.0,1990,1,6
1081,W. York,England,United Kingdom,1996-07-11,Partial College,Manual,M,M,0,1,0,0,36767,0,47.15,20.0,1996,7,11
1082,Sunbury,Victoria,Australia,1991-01-02,Bachelors,Management,M,M,1,1,1,1,112085,1,53.14,26.0,1991,1,2
1083,Newcastle,New South Wales,Australia,1968-09-15,High School,Manual,M,M,1,0,2,2,34324,1,55.18,48.0,1968,9,15
1084,Royal Oak,British Columbia,Canada,1976-08-26,Partial College,Skilled Manual,F,S,1,2,0,0,57463,0,51.72,40.0,1976,8,26
1085,Bendigo,Victoria,Australia,1957-09-14,Bachelors,Manual,M,M,1,0,1,2,35568,1,48.53,59.0,1957,9,14
1086,Burlingame,California,United States,1982-04-16,Bachelors,Professional,M,M,1,3,0,0,133422,1,52.06,34.0,1982,4,16
1087,Townsville,Queensland,Australia,1957-05-05,Bachelors,Professional,M,S,1,2,0,1,137768,0,53.01,59.0,1957,5,5
1088,Silverwater,New South Wales,Australia,1985-04-03,Bachelors,Skilled Manual,M,S,0,1,0,0,54978,0,51.83,31.0,1985,4,3
1089,London,England,United Kingdom,1989-11-11,Bachelors,Clerical,M,S,0,0,0,0,83294,0,54.22,27.0,1989,11,11
1090,Newcastle upon Tyne,England,United Kingdom,1987-03-12,High School,Skilled Manual,F,S,0,2,0,0,58950,1,50.12,30.0,1987,3,12
1091,Chula Vista,California,United States,1981-07-07,Partial College,Skilled Manual,M,M,1,1,1,2,56507,1,52.88,35.0,1981,7,7
1092,Saint Germain en Laye,Yveline,France,1990-02-25,Partial College,Skilled Manual,M,S,0,1,0,0,62218,0,53.3,27.0,1990,2,25
1093,Seattle,Washington,United States,1978-09-22,High School,Skilled Manual,F,M,1,1,0,2,58196,0,48.48,38.0,1978,9,22
1094,San Gabriel,California,United States,1977-08-21,Partial College,Management,F,M,1,3,1,2,108469,1,53.13,39.0,1977,8,21
1095,Billericay,England,United Kingdom,1992-10-22,Partial College,Clerical,F,S,0,0,0,0,76696,1,51.65,24.0,1992,10,22
1096,Paris,Seine (Paris),France,1991-09-27,High School,Manual,F,S,0,1,0,0,34097,0,48.38,25.0,1991,9,27
1097,Pantin,Seine Saint Denis,France,1990-07-03,Bachelors,Management,F,M,1,1,0,2,102100,0,50.74,26.0,1990,7,3
1098,Ballard,Washington,United States,1974-02-22,Partial High School,Manual,F,S,0,1,0,0,31493,0,50.23,43.0,1974,2,22
1099,Novato,California,United States,1970-04-28,Partial College,Skilled Manual,F,M,1,1,1,2,58344,1,51.56,46.0,1970,4,28
1100,Darlinghurst,New South Wales,Australia,1967-09-21,Partial High School,Manual,M,M,1,1,0,2,35972,0,46.22,49.0,1967,9,21
1101,Hervey Bay,Queensland,Australia,1982-10-08,Partial College,Skilled Manual,F,M,1,0,1,2,56629,1,48.27,34.0,1982,10,8
1102,San Gabriel,California,United States,1995-07-02,Partial College,Manual,F,S,0,0,0,0,36634,1,46.6,21.0,1995,7,2
1103,Warrnambool,Victoria,Australia,2000-07-08,Partial College,Manual,M,M,0,0,0,0,31604,0,45.59,16.0,2000,7,8
1104,Lebanon,Oregon,United States,1955-10-10,Graduate Degree,Skilled Manual,F,S,1,2,0,1,57883,0,53.03,61.0,1955,10,10
1105,Bottrop,Nordrhein-Westfalen,Germany,1970-09-12,Partial College,Management,M,M,1,0,1,2,103285,1,63.97,46.0,1970,9,12
1106,Hannover,Nordrhein-Westfalen,Germany,1986-04-09,Bachelors,Management,M,M,1,1,1,2,109623,1,59.83,30.0,1986,4,9
1107,Coronado,California,United States,1981-12-10,Partial College,Clerical,M,M,1,2,1,2,86795,1,57.41,35.0,1981,12,10
1108,Hof,Bayern,Germany,1965-07-15,Partial College,Management,F,M,1,3,1,2,102611,1,51.85,51.0,1965,7,15
1109,Brisbane,Queensland,Australia,1988-02-28,Bachelors,Manual,F,S,0,1,0,0,26510,0,44.66,29.0,1988,2,28
1110,Stoke-on-Trent,England,United Kingdom,1998-04-24,Partial College,Clerical,M,S,0,3,0,0,79303,1,53.48,18.0,1998,4,24
1111,Orleans,Loiret,France,1963-08-18,Partial College,Clerical,M,S,1,3,0,1,81602,0,52.68,53.0,1963,8,18
1112,Mill Valley,California,United States,1986-08-21,Bachelors,Clerical,M,S,0,0,0,0,83332,1,57.64,30.0,1986,8,21
1113,Long Beach,California,United States,1988-08-01,High School,Skilled Manual,M,S,0,0,0,0,51667,0,50.8,28.0,1988,8,1
1114,Seaford,Victoria,Australia,1995-10-12,Bachelors,Skilled Manual,F,S,0,0,0,0,52600,1,48.22,21.0,1995,10,12
1115,Billericay,England,United Kingdom,1992-02-20,Partial High School,Skilled Manual,M,S,0,1,0,0,55156,0,52.56,25.0,1992,2,20
1116,Yakima,Washington,United States,1975-06-17,Partial High School,Manual,F,S,0,1,0,0,25666,0,44.47,41.0,1975,6,17
1117,Warrnambool,Victoria,Australia,1994-08-15,Bachelors,Skilled Manual,F,S,0,1,0,0,57332,0,50.79,22.0,1994,8,15
1118,Matraville,New South Wales,Australia,1995-11-16,Bachelors,Clerical,M,S,0,1,0,0,84601,1,51.27,21.0,1995,11,16
1119,Werne,Nordrhein-Westfalen,Germany,1967-10-13,High School,Skilled Manual,M,S,1,0,0,1,57797,0,50.96,49.0,1967,10,13
1120,Birmingham,England,United Kingdom,1995-09-17,Bachelors,Clerical,F,M,0,0,0,0,82081,1,49.55,21.0,1995,9,17
1121,Vancouver,British Columbia,Canada,1981-01-16,Partial College,Manual,F,M,1,1,2,2,36213,1,50.94,36.0,1981,1,16
1122,London,England,United Kingdom,1986-02-09,Bachelors,Management,M,M,1,1,2,2,105396,1,61.07,31.0,1986,2,9
1123,West Covina,California,United States,1979-05-25,Partial College,Manual,M,S,0,1,0,0,34325,1,52.32,37.0,1979,5,25
1124,Stuttgart,Saarland,Germany,1995-11-07,Partial College,Management,M,S,0,1,0,0,104153,0,53.64,21.0,1995,11,7
1125,Newcastle upon Tyne,England,United Kingdom,1990-09-10,Graduate Degree,Professional,F,M,1,2,0,2,130174,1,52.63,26.0,1990,9,10
1126,Lincoln Acres,California,United States,1978-05-28,Graduate Degree,Clerical,M,S,1,2,0,0,77752,1,53.39,38.0,1978,5,28
1127,Melton,Victoria,Australia,1988-04-24,Bachelors,Clerical,F,M,1,1,1,2,82249,1,52.58,28.0,1988,4,24
1128,Burien,Washington,United States,1994-03-03,Partial College,Manual,F,M,0,0,0,0,36340,0,46.41,23.0,1994,3,3
1129,Saint Ouen,Loir et Cher,France,1989-01-17,Graduate Degree,Manual,M,S,0,0,0,0,31399,1,49.54,28.0,1989,1,17
1130,Beverly Hills,California,United States,1976-06-14,Partial College,Skilled Manual,F,M,1,2,2,2,56459,1,51.12,40.0,1976,6,14
1131,Neunkirchen,Saarland,Germany,1956-08-04,Graduate Degree,Management,F,M,1,1,0,2,106540,0,51.49,60.0,1956,8,4
1132,Langford,British Columbia,Canada,1988-02-02,Bachelors,Professional,M,M,1,2,0,0,138288,0,51.98,29.0,1988,2,2
1133,Daly City,California,United States,1971-03-19,Partial College,Skilled Manual,M,M,1,1,0,2,58880,1,56.36,45.0,1971,3,19
1134,Frankfurt am Main,Saarland,Germany,1984-11-22,Bachelors,Clerical,F,M,1,1,1,1,87129,1,53.12,32.0,1984,11,22
1135,Gateshead,England,United Kingdom,1979-07-22,Partial College,Management,F,M,1,2,0,2,102263,1,51.09,37.0,1979,7,22
1136,Sedro Woolley,Washington,United States,1995-08-05,High School,Skilled Manual,F,S,0,0,0,0,60642,0,51.88,21.0,1995,8,5
1137,Portland,Oregon,United States,1979-04-12,Graduate Degree,Skilled Manual,M,S,0,2,0,0,59533,1,53.03,37.0,1979,4,12
1138,El Cajon,California,United States,1999-05-26,High School,Skilled Manual,M,M,0,0,0,0,52632,0,48.39,17.0,1999,5,26
1139,Santa Monica,California,United States,1984-02-24,Bachelors,Clerical,M,S,0,2,0,0,80865,0,51.39,33.0,1984,2,24
1140,Saarlouis,Saarland,Germany,1982-10-16,Partial College,Skilled Manual,F,M,1,1,1,2,56161,1,51.3,34.0,1982,10,16
1141,Salem,Oregon,United States,1997-06-05,Partial College,Management,M,M,1,1,0,0,103354,0,51.4,19.0,1997,6,5
1142,Bellflower,California,United States,1993-11-03,Graduate Degree,Professional,M,M,1,1,0,0,129893,0,52.56,23.0,1993,11,3
1143,Royal Oak,British Columbia,Canada,1970-01-03,Partial High School,Manual,M,M,1,1,1,2,30399,0,50.81,47.0,1970,1,3
1144,Oakland,California,United States,1979-07-24,Bachelors,Management,M,S,1,2,0,0,107015,1,54.87,37.0,1979,7,24
1145,Melbourne,Victoria,Australia,1974-03-10,Partial College,Skilled Manual,F,S,1,1,0,0,53072,0,49.41,43.0,1974,3,10
1146,Coffs Harbour,New South Wales,Australia,1987-09-08,Bachelors,Management,F,M,1,1,0,2,107954,1,50.91,29.0,1987,9,8
1147,Springwood,New South Wales,Australia,1971-08-14,Partial High School,Skilled Manual,M,S,1,2,0,0,59014,1,61.06,45.0,1971,8,14
1148,Lakewood,California,United States,1990-03-13,Graduate Degree,Skilled Manual,F,M,0,2,0,2,59683,0,49.32,27.0,1990,3,13
1149,Berkeley,California,United States,1977-08-26,Partial High School,Manual,M,M,1,0,1,2,29959,0,50.8,39.0,1977,8,26
1150,High Wycombe,England,United Kingdom,1973-02-04,Partial College,Management,F,M,1,2,1,2,110571,1,54.51,44.0,1973,2,4
1151,Vancouver,British Columbia,Canada,1973-07-06,Bachelors,Professional,F,M,1,2,0,2,136251,1,52.24,43.0,1973,7,6
1152,Hervey Bay,Queensland,Australia,1984-11-23,Bachelors,Management,M,S,1,0,0,0,102680,1,57.84,32.0,1984,11,23
1153,Long Beach,California,United States,1995-07-11,Partial College,Skilled Manual,M,M,0,2,0,0,58537,0,48.95,21.0,1995,7,11
1154,Malabar,New South Wales,Australia,1967-11-21,High School,Manual,M,M,1,1,0,2,27322,0,44.71,49.0,1967,11,21
1155,Mill Valley,California,United States,1990-06-08,Graduate Degree,Clerical,F,M,1,2,1,2,81705,1,53.39,26.0,1990,6,8
1156,Paris,Seine (Paris),France,1983-06-01,High School,Manual,F,S,0,0,0,0,26167,0,45.14,33.0,1983,6,1
1157,San Diego,California,United States,1981-04-05,Bachelors,Clerical,F,S,1,1,0,0,84889,0,53.16,35.0,1981,4,5
1158,Grossmont,California,United States,1986-01-26,Graduate Degree,Professional,F,M,1,2,0,0,132944,0,51.71,31.0,1986,1,26
1159,Perth,South Australia,Australia,1975-06-17,High School,Manual,M,S,0,1,0,0,35511,1,52.76,41.0,1975,6,17
1160,St. Leonards,New South Wales,Australia,1981-05-26,Partial College,Skilled Manual,M,M,1,1,0,1,55827,0,57.58,35.0,1981,5,26
1161,Everett,Washington,United States,1981-09-15,High School,Skilled Manual,F,S,0,0,0,0,57630,1,50.95,35.0,1981,9,15
1162,Palo Alto,California,United States,1968-06-17,Bachelors,Manual,M,M,1,0,0,2,31173,1,51.51,48.0,1968,6,17
1163,Seaford,Victoria,Australia,1988-01-18,Bachelors,Skilled Manual,M,S,0,1,0,0,59022,0,50.58,29.0,1988,1,18
1164,Burbank,California,United States,2000-01-13,Bachelors,Clerical,M,S,0,0,0,0,78282,0,52.29,17.0,2000,1,13
1165,Saint Ouen,Loir et Cher,France,1958-09-12,Bachelors,Clerical,M,M,1,2,0,2,85480,0,49.73,58.0,1958,9,12
1166,North Sydney,New South Wales,Australia,1968-05-21,High School,Skilled Manual,F,M,1,1,1,2,56524,0,49.86,48.0,1968,5,21
1167,Daly City,California,United States,1965-07-07,Bachelors,Manual,M,M,1,0,0,2,29716,0,45.98,51.0,1965,7,7
1168,Woodland Hills,California,United States,1979-11-03,Graduate Degree,Management,F,S,1,1,0,0,112357,0,52.83,37.0,1979,11,3
1169,Kiel,Saarland,Germany,1991-07-23,High School,Skilled Manual,M,S,0,0,0,0,52994,1,51.31,25.0,1991,7,23
1170,Warrnambool,Victoria,Australia,1984-09-11,Bachelors,Skilled Manual,M,S,0,2,0,0,53054,1,54.27,32.0,1984,9,11
1171,Hof,Bayern,Germany,1983-06-23,Partial College,Management,M,S,1,1,0,0,106601,0,52.68,33.0,1983,6,23
1172,Milwaukie,Oregon,United States,1980-10-05,Partial College,Clerical,F,M,1,1,0,2,77188,0,50.52,36.0,1980,10,5
1173,München,Hessen,Germany,1972-04-10,Partial College,Skilled Manual,M,M,1,2,1,2,54544,1,51.86,44.0,1972,4,10
1174,Woodburn,Oregon,United States,1970-06-26,High School,Skilled Manual,M,M,1,0,0,2,60732,0,56.53,46.0,1970,6,26
1175,Perth,South Australia,Australia,1980-09-06,Partial College,Clerical,M,S,1,3,0,0,83091,1,60.14,36.0,1980,9,6
1176,Frankfurt,Bayern,Germany,1957-04-22,Graduate Degree,Clerical,F,M,1,1,0,2,85532,1,50.95,59.0,1957,4,22
1177,Cliffside,British Columbia,Canada,1975-05-14,Partial High School,Manual,M,S,0,0,0,0,33320,0,53.9,41.0,1975,5,14
1178,Berlin,Hessen,Germany,1976-04-04,High School,Manual,F,S,0,0,0,0,29006,0,48.58,40.0,1976,4,4
1179,Bendigo,Victoria,Australia,1971-08-11,Partial High School,Skilled Manual,M,M,1,1,1,2,62139,1,53.09,45.0,1971,8,11
1180,St. Leonards,New South Wales,Australia,1987-06-13,Bachelors,Professional,F,M,1,2,1,2,131914,1,52.03,29.0,1987,6,13
1181,Runcorn,England,United Kingdom,1988-02-17,High School,Skilled Manual,M,M,0,0,1,2,59300,1,51.48,29.0,1988,2,17
1182,Seattle,Washington,United States,1968-06-24,Partial College,Skilled Manual,F,S,1,1,0,0,57841,0,48.15,48.0,1968,6,24
1183,North Sydney,New South Wales,Australia,1979-04-07,Bachelors,Clerical,F,M,1,1,1,2,79168,1,51.12,37.0,1979,4,7
1184,Matraville,New South Wales,Australia,1987-11-21,Bachelors,Management,F,M,1,2,0,2,103363,1,50.68,29.0,1987,11,21
1185,Erlangen,Bayern,Germany,1991-03-13,Partial College,Skilled Manual,M,S,0,1,0,0,54965,1,51.05,26.0,1991,3,13
1186,Hamburg,Hessen,Germany,1971-09-20,High School,Clerical,F,M,1,2,1,2,83383,1,51.09,45.0,1971,9,20
1187,Matraville,New South Wales,Australia,1960-02-14,Bachelors,Clerical,F,M,1,1,1,2,76990,1,52.03,57.0,1960,2,14
1188,Lakewood,California,United States,1983-09-13,Graduate Degree,Manual,F,M,0,0,0,1,33346,1,46.06,33.0,1983,9,13
1189,Burlingame,California,United States,1970-09-21,Partial College,Manual,M,M,1,0,1,2,34191,1,52.36,46.0,1970,9,21
1190,Burbank,California,United States,1977-02-24,Partial High School,Manual,M,M,1,1,0,1,28550,0,46.68,40.0,1977,2,24
1191,Kiel,Saarland,Germany,1985-07-20,Bachelors,Clerical,M,S,0,2,0,0,87147,0,57.94,31.0,1985,7,20
1192,Lebanon,Oregon,United States,1963-09-11,Bachelors,Clerical,F,S,1,1,0,1,79079,0,52.58,53.0,1963,9,11
1193,Caloundra,Queensland,Australia,1985-02-21,Bachelors,Management,M,S,1,1,0,0,111286,1,54.41,32.0,1985,2,21
1194,Gold Coast,Queensland,Australia,1995-08-12,Bachelors,Clerical,F,S,0,3,0,0,78733,1,51.05,21.0,1995,8,12
1195,Saint-Denis,Seine Saint Denis,France,1987-03-24,Partial College,Skilled Manual,F,S,0,0,0,0,56965,1,51.99,29.0,1987,3,24
1196,Sydney,New South Wales,Australia,1986-02-18,Bachelors,Clerical,F,S,0,1,0,0,86919,0,52.26,31.0,1986,2,18
1197,Chula Vista,California,United States,1965-10-11,Bachelors,Skilled Manual,M,M,1,1,1,2,52783,1,50.07,51.0,1965,10,11
1198,Lebanon,Oregon,United States,1988-08-06,Bachelors,Clerical,M,M,1,3,0,2,79011,0,49.46,28.0,1988,8,6
1199,Courbevoie,Hauts de Seine,France,2000-11-05,Partial High School,Manual,M,S,0,1,0,0,32434,0,49.16,16.0,2000,11,5
1200,Hawthorne,Queensland,Australia,1990-05-27,High School,Manual,M,M,0,1,1,1,28976,0,47.93,26.0,1990,5,27
1201,Langford,British Columbia,Canada,1987-08-13,Partial College,Management,M,S,1,0,0,0,110808,1,52.61,29.0,1987,8,13
1202,Corvallis,Oregon,United States,1987-03-25,Partial College,Clerical,M,S,0,2,0,0,77133,1,51.53,29.0,1987,3,25
1203,Langley,British Columbia,Canada,1973-10-01,Partial College,Skilled Manual,M,S,1,0,0,0,61150,1,50.83,43.0,1973,10,1
1204,Seaford,Victoria,Australia,1978-06-16,Bachelors,Skilled Manual,F,M,1,2,1,2,54445,1,48.6,38.0,1978,6,16
1205,Werne,Nordrhein-Westfalen,Germany,1975-09-25,Bachelors,Manual,M,M,1,1,2,2,30452,1,52.65,41.0,1975,9,25
1206,Lincoln Acres,California,United States,1995-10-06,Partial College,Skilled Manual,M,S,0,1,0,0,55256,1,50.0,21.0,1995,10,6
1207,Bonn,Nordrhein-Westfalen,Germany,1963-10-16,Partial College,Manual,M,M,1,0,0,3,36525,0,46.73,53.0,1963,10,16
1208,Morangis,Essonne,France,1986-04-18,Bachelors,Skilled Manual,F,M,1,2,1,1,51816,1,51.41,30.0,1986,4,18
1209,Walla Walla,Washington,United States,1992-04-22,Partial College,Clerical,F,S,0,2,0,0,79395,1,49.67,24.0,1992,4,22
1210,Salem,Oregon,United States,1983-05-07,Bachelors,Professional,M,M,1,1,1,2,137773,1,55.23,33.0,1983,5,7
1211,Sydney,New South Wales,Australia,1988-11-16,Bachelors,Skilled Manual,M,M,0,0,0,2,55892,0,48.44,28.0,1988,11,16
1212,Suresnes,Hauts de Seine,France,1970-10-27,Partial College,Management,M,M,1,2,0,2,103210,1,55.73,46.0,1970,10,27
1213,Sunbury,Victoria,Australia,1994-02-08,Bachelors,Professional,M,S,0,3,0,0,129974,1,54.59,23.0,1994,2,8
1214,Lancaster,England,United Kingdom,1978-12-15,Partial College,Clerical,M,M,1,3,1,2,77486,1,55.97,38.0,1978,12,15
1215,South Melbourne,Victoria,Australia,1988-11-28,Bachelors,Professional,M,S,1,2,0,0,138905,1,54.49,28.0,1988,11,28
1216,Daly City,California,United States,1976-06-10,Partial College,Management,M,M,1,2,1,2,111831,1,58.49,40.0,1976,6,10
1217,London,England,United Kingdom,1990-04-08,Bachelors,Clerical,F,S,0,2,0,0,82437,1,53.56,26.0,1990,4,8
1218,Caloundra,Queensland,Australia,1993-08-06,Partial High School,Skilled Manual,F,S,0,2,0,0,56031,0,52.59,23.0,1993,8,6
