,CountryRegionName,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberChildrenAtHome,TotalChildren,YearlyIncome,AvgMonthSpend,age
5199,United States,Clerical,F,M,1,0,2,80559,49.58,43.0
5200,United States,Clerical,M,M,1,0,2,77058,50.16,38.0
5201,France,Skilled Manual,M,S,0,0,0,62244,52.68,28.0
5202,United States,Manual,M,M,0,0,1,31584,46.41,25.0
5203,Germany,Skilled Manual,M,M,1,1,2,53586,52.36,40.0
5204,United States,Management,M,S,0,0,0,108879,52.38,19.0
5205,United States,Skilled Manual,M,M,1,0,2,54186,48.19,52.0
5206,United States,Skilled Manual,F,M,0,0,1,54460,48.49,27.0
5207,Canada,Professional,M,M,1,1,2,133666,52.38,43.0
5208,United States,Skilled Manual,F,M,1,1,2,55664,52.07,38.0
5209,Australia,Manual,F,M,1,0,2,27346,45.41,47.0
5210,Australia,Skilled Manual,F,M,0,0,0,56168,47.92,23.0
5211,United States,Clerical,M,M,1,1,2,78235,52.6,26.0
5212,Canada,Manual,F,M,0,1,2,33442,47.18,32.0
5213,United States,Skilled Manual,M,M,1,1,2,54975,49.13,52.0
5214,Australia,Clerical,F,M,1,1,2,84799,54.68,44.0
5215,United States,Manual,M,M,0,0,0,27089,44.79,18.0
5216,United States,Skilled Manual,M,S,0,0,0,52321,58.4,30.0
5217,United States,Skilled Manual,M,M,1,1,2,55926,55.76,43.0
5218,Australia,Clerical,M,S,0,0,0,78106,61.04,31.0
5219,United States,Skilled Manual,F,M,1,1,2,56539,50.71,32.0
5220,Australia,Skilled Manual,M,S,0,0,0,52905,57.43,30.0
5221,United Kingdom,Manual,M,M,1,1,2,35679,51.91,39.0
5222,France,Skilled Manual,F,M,1,0,2,54316,48.05,49.0
5223,United States,Skilled Manual,M,M,1,2,2,58576,53.3,45.0
5224,United States,Skilled Manual,F,S,1,0,1,54270,49.97,64.0
5225,United States,Skilled Manual,M,M,0,1,2,61322,49.7,27.0
5226,United States,Skilled Manual,F,M,1,1,2,57830,50.41,45.0
5227,United States,Skilled Manual,F,M,1,2,2,52415,51.4,49.0
5228,France,Manual,F,S,0,0,0,29873,46.95,23.0
5229,Australia,Manual,F,S,0,0,0,33890,48.5,35.0
5230,Canada,Manual,M,S,0,0,0,32082,51.84,41.0
5231,United States,Skilled Manual,F,M,1,1,2,61257,49.04,49.0
5232,United States,Management,F,S,0,0,0,102726,53.41,23.0
5233,Germany,Clerical,F,S,0,0,0,76405,51.22,25.0
5234,United States,Clerical,M,M,1,1,1,82336,52.25,24.0
5235,United States,Manual,M,S,0,0,0,29866,48.94,28.0
5236,Germany,Manual,M,S,0,0,0,35523,47.64,22.0
5237,Germany,Management,F,M,1,0,1,107959,50.92,28.0
5238,Australia,Management,F,S,1,0,0,103800,50.83,34.0
5239,United States,Clerical,M,S,1,0,0,85818,61.82,36.0
5240,Canada,Clerical,M,S,1,1,1,85873,52.07,56.0
5241,Germany,Management,M,S,1,0,0,107354,52.41,29.0
5242,United States,Skilled Manual,F,S,1,1,1,56099,51.68,51.0
5243,Germany,Skilled Manual,M,S,0,0,0,51729,55.86,33.0
5244,United States,Skilled Manual,M,M,0,0,0,61171,49.19,21.0
5245,United States,Skilled Manual,M,M,1,2,2,62003,59.05,32.0
5246,United States,Professional,M,M,1,0,0,129601,52.13,25.0
5247,United States,Skilled Manual,F,M,1,0,2,57553,48.62,31.0
5248,United States,Manual,F,S,0,0,0,30204,48.72,42.0
5249,United Kingdom,Clerical,M,M,1,0,2,80614,49.85,71.0
5250,United States,Clerical,M,S,1,0,0,80352,59.06,36.0
5251,United Kingdom,Professional,F,M,1,0,0,130425,52.08,28.0
5252,United States,Professional,F,M,1,2,2,130572,55.9,56.0
5253,Canada,Skilled Manual,F,M,1,1,2,56013,48.3,30.0
5254,United States,Clerical,M,S,0,0,0,82089,56.41,32.0
5255,United Kingdom,Skilled Manual,M,S,0,0,0,60287,53.25,26.0
5256,United Kingdom,Clerical,M,S,1,0,0,81030,54.37,42.0
5257,United States,Skilled Manual,F,M,1,1,1,56345,51.82,38.0
5258,Australia,Clerical,F,M,1,0,2,79945,50.17,46.0
5259,France,Clerical,F,S,0,0,0,80444,53.69,17.0
5260,United States,Management,F,M,1,0,2,111642,51.08,31.0
5261,Canada,Clerical,F,M,1,0,1,86467,50.01,46.0
5262,United Kingdom,Management,F,M,1,1,2,102666,54.99,62.0
5263,Canada,Professional,F,S,1,0,0,127613,54.66,38.0
5264,United States,Skilled Manual,F,M,1,1,2,55730,52.69,52.0
5265,France,Clerical,F,S,0,0,0,78704,49.49,19.0
5266,United Kingdom,Management,F,S,0,0,0,109725,52.48,16.0
5267,Canada,Professional,F,M,1,0,1,131993,52.11,27.0
5268,Germany,Clerical,F,S,1,0,0,77406,50.86,35.0
5269,Australia,Skilled Manual,F,M,1,1,2,61615,53.04,31.0
5270,United States,Skilled Manual,F,M,1,0,1,60762,49.3,35.0
5271,France,Clerical,M,S,0,0,0,82459,59.53,34.0
5272,United States,Clerical,M,S,1,0,0,86228,58.08,35.0
5273,France,Manual,M,S,0,0,0,35967,57.72,36.0
5274,Australia,Clerical,M,S,1,0,0,82213,62.53,35.0
5275,United States,Manual,F,M,1,1,2,36117,47.22,36.0
5276,Australia,Clerical,F,M,0,0,0,77202,50.03,22.0
5277,Germany,Management,M,M,1,0,0,105730,50.94,28.0
5278,Australia,Clerical,F,M,1,1,2,83813,53.42,32.0
5279,France,Clerical,F,S,0,0,0,81503,53.32,27.0
5280,Germany,Management,F,M,1,1,2,105376,55.61,39.0
5281,France,Management,F,M,1,1,2,106039,52.93,38.0
5282,United States,Professional,F,S,1,0,0,130978,55.58,30.0
5283,Canada,Clerical,F,S,0,0,0,81232,53.95,29.0
5284,United States,Professional,F,S,1,0,0,134412,56.28,43.0
5285,United States,Manual,F,S,1,0,1,33964,48.85,50.0
5286,Canada,Clerical,M,M,1,1,1,83123,50.69,25.0
5287,Australia,Skilled Manual,F,M,1,1,2,60687,50.94,46.0
5288,Germany,Skilled Manual,M,S,0,0,0,58669,56.39,33.0
5289,Australia,Skilled Manual,F,S,0,0,0,52394,51.51,35.0
5290,Australia,Management,F,S,0,0,0,105292,54.22,20.0
5291,France,Manual,M,S,0,0,0,31614,50.47,24.0
5292,Canada,Clerical,F,S,0,0,0,78002,51.56,20.0
5293,France,Manual,M,S,0,0,0,30345,54.16,33.0
5294,France,Manual,M,M,1,1,2,27583,53.57,48.0
5295,United States,Manual,M,S,0,0,0,27722,46.16,22.0
5296,United States,Management,F,M,1,1,1,103925,51.64,25.0
5297,United Kingdom,Skilled Manual,M,M,0,0,0,58715,48.45,23.0
5298,Canada,Manual,F,M,1,1,2,27905,47.5,48.0
5299,United States,Manual,F,M,0,0,1,29437,45.67,33.0
5300,United Kingdom,Skilled Manual,M,S,0,0,0,60490,49.75,28.0
5301,United States,Management,M,M,1,2,2,108086,60.15,38.0
5302,Germany,Professional,M,S,1,0,0,133665,59.46,38.0
5303,Australia,Clerical,M,M,1,0,2,79502,58.89,46.0
5304,Australia,Management,F,S,0,0,0,104547,53.2,20.0
5305,United States,Manual,F,M,1,2,2,30288,46.7,36.0
5306,United States,Skilled Manual,F,M,1,0,2,61107,48.29,29.0
5307,United States,Skilled Manual,M,M,1,2,2,52579,53.07,40.0
5308,United States,Manual,F,S,0,0,0,28719,49.06,30.0
5309,Australia,Management,F,M,1,1,2,104148,51.82,38.0
5310,Australia,Manual,F,M,0,0,2,34101,46.54,24.0
5311,France,Clerical,F,S,1,0,1,82419,54.6,56.0
5312,Australia,Management,F,M,1,0,0,108975,50.79,30.0
5313,United States,Skilled Manual,F,S,1,0,0,52547,48.35,41.0
5314,United States,Manual,F,S,0,0,0,27469,46.66,17.0
5315,France,Clerical,F,M,1,1,2,87160,52.0,47.0
5316,Australia,Clerical,M,M,1,0,2,85458,55.92,31.0
5317,United States,Management,M,S,1,0,0,111074,53.21,37.0
5318,United States,Clerical,M,M,1,0,2,85425,50.73,27.0
5319,United States,Clerical,M,S,0,0,0,78724,53.51,24.0
5320,Germany,Clerical,F,S,1,0,0,78596,50.69,37.0
5321,United States,Management,F,M,1,1,1,108892,54.24,26.0
5322,United States,Skilled Manual,F,S,1,0,0,58181,50.08,39.0
5323,United States,Clerical,F,S,1,0,0,86693,54.66,34.0
5324,Australia,Clerical,F,S,0,0,0,85267,53.4,18.0
5325,France,Skilled Manual,M,S,0,0,0,59531,50.7,27.0
5326,United States,Management,M,M,1,1,1,113346,58.95,39.0
5327,Australia,Skilled Manual,F,M,1,1,2,59264,49.66,47.0
5328,France,Manual,M,M,1,1,2,36983,47.11,53.0
5329,United States,Manual,F,S,0,0,0,26157,45.7,25.0
5330,France,Management,F,S,1,0,0,107894,53.58,44.0
5331,United States,Skilled Manual,F,S,0,0,0,61344,48.76,29.0
5332,United States,Skilled Manual,F,M,0,0,0,60005,48.32,23.0
5333,United States,Skilled Manual,M,M,0,0,1,56375,48.66,28.0
5334,United States,Clerical,M,M,1,0,2,80434,50.27,61.0
5335,Australia,Management,M,S,1,0,0,107858,61.67,33.0
5336,United States,Skilled Manual,M,M,1,1,1,60193,54.79,35.0
5337,United States,Manual,F,M,1,0,2,30917,46.0,42.0
5338,Canada,Clerical,F,S,0,0,0,80566,51.86,27.0
5339,Australia,Skilled Manual,F,S,0,0,0,53056,49.53,20.0
5340,Australia,Clerical,F,S,1,0,0,76610,51.77,37.0
5341,United States,Skilled Manual,F,M,0,0,0,58504,48.55,21.0
5342,Germany,Management,M,S,0,0,0,109084,53.91,28.0
5343,United States,Clerical,F,M,1,1,2,82048,49.49,48.0
5344,Australia,Manual,F,S,0,0,0,35211,49.0,40.0
5345,Canada,Professional,F,S,1,0,0,128473,53.06,38.0
5346,Canada,Manual,M,S,1,0,0,28349,46.66,47.0
5347,United States,Clerical,M,S,0,0,0,81323,62.77,30.0
5348,Australia,Management,M,S,1,0,1,103393,53.42,61.0
5349,United States,Skilled Manual,M,S,0,0,0,54970,52.39,28.0
5350,United Kingdom,Skilled Manual,F,S,0,0,0,58839,47.97,31.0
5351,Australia,Clerical,M,M,1,1,2,84109,57.13,31.0
5352,United States,Skilled Manual,F,M,1,1,2,59375,51.13,34.0
5353,United States,Skilled Manual,F,M,1,1,2,51528,50.23,39.0
5354,Australia,Skilled Manual,M,M,1,0,2,59346,48.21,47.0
5355,Australia,Clerical,M,S,0,0,0,83417,57.16,31.0
5356,France,Management,F,M,1,0,2,110666,51.31,28.0
5357,Germany,Skilled Manual,M,S,0,0,0,55810,51.12,22.0
5358,France,Skilled Manual,M,S,0,0,0,53178,51.35,17.0
5359,Australia,Management,M,M,1,0,2,112761,58.75,37.0
5360,Australia,Management,M,M,1,0,0,108703,51.49,29.0
5361,United Kingdom,Manual,F,S,0,0,0,29218,45.71,25.0
5362,United States,Clerical,F,S,1,0,0,87261,51.74,38.0
5363,United States,Manual,F,M,0,0,1,25976,45.72,32.0
5364,Germany,Management,F,M,1,1,1,111006,55.32,41.0
5365,United States,Skilled Manual,F,S,0,0,0,58171,49.0,23.0
5366,France,Management,M,M,1,0,2,110797,60.07,44.0
5367,United Kingdom,Skilled Manual,M,M,1,1,2,53353,60.96,40.0
5368,United States,Skilled Manual,M,M,1,1,2,60934,48.95,56.0
5369,United States,Clerical,M,M,1,0,2,78672,49.85,54.0
5370,Canada,Clerical,M,M,1,0,2,78677,50.08,31.0
5371,Canada,Skilled Manual,M,S,0,0,0,59931,50.84,18.0
5372,Germany,Clerical,F,M,1,1,2,80341,52.14,28.0
5373,Australia,Management,F,M,1,1,1,103306,52.51,24.0
5374,United States,Clerical,M,M,1,0,1,80319,50.48,36.0
5375,United States,Manual,F,M,0,0,2,34715,45.71,26.0
5376,Canada,Professional,F,S,1,0,0,129530,56.41,30.0
5377,United States,Management,F,S,1,0,0,111380,55.36,30.0
5378,Germany,Skilled Manual,M,M,0,0,1,57956,49.37,26.0
5379,Australia,Clerical,F,S,1,0,1,86103,53.39,56.0
5380,France,Skilled Manual,F,S,0,0,0,60616,48.91,27.0
5381,Australia,Management,F,S,0,0,0,108009,51.62,25.0
5382,United States,Manual,F,S,1,0,0,35892,47.24,46.0
5383,United States,Skilled Manual,F,S,1,0,0,59132,52.13,40.0
5384,Australia,Management,F,M,1,2,2,104484,53.25,53.0
5385,Canada,Manual,F,S,0,0,0,33081,47.3,17.0
5386,France,Skilled Manual,F,M,0,0,0,58919,48.86,17.0
5387,United States,Skilled Manual,F,S,0,0,0,56957,51.45,22.0
5388,United States,Clerical,M,S,1,0,0,78450,52.79,48.0
5389,United States,Skilled Manual,F,M,0,0,0,51772,48.32,21.0
5390,United Kingdom,Manual,F,M,0,0,1,26797,46.16,28.0
5391,Australia,Manual,F,M,0,1,2,25894,49.08,24.0
5392,United States,Skilled Manual,F,M,0,0,1,52490,48.2,27.0
5393,United Kingdom,Management,F,M,1,0,2,105732,51.55,52.0
5394,Canada,Management,F,S,0,0,0,106126,54.48,23.0
5395,Australia,Management,M,M,1,1,2,104549,54.21,34.0
5396,United Kingdom,Manual,M,S,0,0,0,34815,46.71,28.0
5397,France,Clerical,F,S,1,0,0,77915,53.07,40.0
5398,Australia,Skilled Manual,F,S,1,0,0,54187,52.17,40.0
5399,United States,Skilled Manual,F,M,1,1,2,58978,52.28,39.0
5400,Australia,Manual,M,M,0,1,2,35098,48.06,27.0
5401,Canada,Clerical,M,M,1,1,2,86434,52.32,28.0
5402,Australia,Skilled Manual,M,M,1,1,2,53946,57.55,48.0
5403,United States,Management,M,M,1,1,2,108535,52.52,26.0
5404,Australia,Skilled Manual,F,M,1,2,2,57374,52.61,52.0
5405,United States,Manual,F,M,0,0,1,34774,46.91,28.0
5406,United States,Skilled Manual,M,S,0,0,0,59847,52.07,31.0
5407,United Kingdom,Skilled Manual,M,S,0,0,0,52996,52.49,23.0
5408,United States,Manual,F,S,0,0,0,30990,49.73,34.0
5409,United States,Professional,F,S,1,0,0,134315,56.02,30.0
5410,United States,Manual,M,M,0,0,0,30013,45.77,17.0
5411,Canada,Clerical,M,M,1,1,1,86600,56.74,31.0
5412,United States,Clerical,M,S,1,1,1,85149,52.5,51.0
5413,United States,Manual,F,M,1,1,2,36498,49.7,47.0
5414,United States,Skilled Manual,M,M,1,1,2,54749,54.82,39.0
5415,United States,Manual,F,S,1,0,0,36547,49.76,48.0
5416,United States,Skilled Manual,F,S,0,0,0,56613,48.62,30.0
5417,Canada,Clerical,F,M,1,0,1,82140,50.1,28.0
5418,Germany,Manual,F,M,1,1,1,35530,51.42,38.0
5419,United Kingdom,Skilled Manual,M,S,0,0,0,55880,48.1,25.0
5420,United States,Skilled Manual,M,S,0,0,0,51612,59.63,34.0
5421,United States,Skilled Manual,F,S,0,0,0,51089,48.86,22.0
5422,Australia,Clerical,M,S,1,0,0,84598,59.53,34.0
5423,Canada,Skilled Manual,M,S,0,0,0,55918,58.46,37.0
5424,Australia,Professional,F,M,1,2,2,134035,56.67,37.0
5425,Australia,Clerical,F,S,1,0,0,80024,51.91,39.0
5426,United States,Skilled Manual,F,S,0,0,0,51320,48.4,21.0
5427,United Kingdom,Skilled Manual,F,S,0,0,0,52279,47.98,38.0
5428,France,Clerical,F,M,1,1,2,78554,50.64,44.0
5429,Australia,Skilled Manual,F,M,0,1,2,57657,53.52,27.0
5430,United States,Manual,M,M,1,0,1,31248,47.29,42.0
5431,Canada,Clerical,M,M,1,1,2,84046,50.25,61.0
5432,United States,Professional,M,S,1,0,0,138234,53.28,30.0
5433,Australia,Professional,M,S,1,0,0,134076,62.12,31.0
5434,United States,Clerical,F,M,1,1,2,82625,52.14,45.0
5435,United States,Skilled Manual,F,M,0,0,0,55089,48.38,17.0
5436,United States,Skilled Manual,F,M,1,1,2,61155,48.76,48.0
5437,United Kingdom,Management,M,S,1,0,0,113004,62.43,37.0
5438,United States,Clerical,F,M,1,0,1,86443,50.75,48.0
5439,United States,Manual,M,S,0,0,0,36890,50.26,28.0
5440,Australia,Management,M,S,1,0,0,103708,54.7,43.0
5441,United States,Skilled Manual,F,M,1,0,1,60618,48.51,40.0
5442,United States,Skilled Manual,F,S,0,0,0,55494,49.77,21.0
5443,Germany,Skilled Manual,M,S,0,0,0,62182,51.69,18.0
5444,United States,Skilled Manual,M,S,1,0,0,53222,53.01,40.0
5445,Australia,Clerical,M,S,0,0,0,85649,52.31,25.0
5446,Australia,Clerical,F,S,0,0,0,85420,50.07,31.0
5447,United States,Management,F,S,1,0,0,108281,54.09,43.0
5448,United States,Management,F,M,1,0,2,106094,50.97,45.0
5449,United States,Skilled Manual,F,S,0,0,0,56363,52.86,27.0
5450,Australia,Skilled Manual,F,M,0,0,0,59624,48.44,22.0
5451,France,Skilled Manual,M,S,1,1,1,55339,51.39,49.0
5452,France,Skilled Manual,F,S,0,0,0,51390,52.17,36.0
5453,United Kingdom,Clerical,M,S,1,0,0,76646,50.62,46.0
5454,United Kingdom,Skilled Manual,F,S,0,0,0,56919,49.89,25.0
5455,France,Manual,F,M,1,1,2,31235,50.57,49.0
5456,United States,Management,F,S,1,0,1,105300,51.0,54.0
5457,United States,Skilled Manual,M,M,1,2,2,55745,53.84,39.0
5458,United Kingdom,Management,F,M,1,0,0,106178,50.87,27.0
5459,United States,Management,F,M,1,1,1,112312,51.54,25.0
5460,France,Manual,M,S,0,0,0,36483,48.37,16.0
5461,Australia,Skilled Manual,M,S,1,0,0,51449,52.27,42.0
5462,Australia,Management,F,S,0,0,0,108294,53.07,21.0
5463,Germany,Clerical,F,S,1,0,0,78383,52.79,38.0
5464,United States,Clerical,M,M,1,0,1,81710,50.66,25.0
5465,United States,Manual,F,S,0,0,0,26303,48.39,29.0
5466,United States,Management,M,S,0,0,0,111641,51.55,28.0
5467,United States,Skilled Manual,F,S,0,0,0,53694,49.36,35.0
5468,Australia,Management,M,S,1,0,0,109693,60.82,43.0
5469,France,Clerical,F,S,1,0,0,85604,53.08,36.0
5470,Canada,Manual,M,M,1,1,2,36560,48.39,39.0
5471,United Kingdom,Management,M,M,0,0,0,111963,50.85,18.0
5472,United States,Management,F,S,0,0,0,109488,52.69,28.0
5473,United States,Manual,M,M,0,0,2,28847,53.2,31.0
5474,Australia,Skilled Manual,M,S,1,0,0,58019,52.02,42.0
5475,Germany,Skilled Manual,M,M,1,1,3,55157,50.9,70.0
5476,United States,Clerical,F,M,1,0,2,87324,50.53,53.0
5477,United States,Clerical,M,M,1,1,1,80776,54.18,25.0
5478,United States,Skilled Manual,M,M,0,0,1,58083,48.72,26.0
5479,United Kingdom,Management,F,S,1,0,0,112362,55.81,34.0
5480,France,Professional,M,M,1,2,2,138423,54.49,27.0
5481,United States,Clerical,F,M,0,0,0,86665,50.04,21.0
5482,Canada,Manual,F,M,1,1,1,29092,49.61,47.0
5483,United States,Skilled Manual,M,S,1,0,0,51461,52.17,44.0
5484,Germany,Clerical,M,M,1,1,1,77773,54.44,39.0
5485,United States,Skilled Manual,M,M,0,0,2,51929,48.1,27.0
5486,Australia,Skilled Manual,F,M,1,2,2,56228,49.06,31.0
5487,Canada,Skilled Manual,F,S,0,0,0,53256,48.02,33.0
5488,United States,Clerical,M,M,1,0,2,83306,50.24,60.0
5489,United States,Management,M,S,1,0,1,112208,52.44,55.0
5490,Australia,Skilled Manual,F,S,0,0,0,57227,50.96,27.0
5491,United States,Skilled Manual,F,M,0,0,2,55421,48.91,24.0
5492,Australia,Manual,M,M,0,0,0,34081,46.46,18.0
5493,Australia,Clerical,F,S,1,1,1,84034,52.15,57.0
5494,United States,Management,F,M,1,2,2,111506,56.0,40.0
5495,Australia,Management,M,S,0,0,0,104140,52.14,17.0
5496,Australia,Clerical,F,S,0,0,0,85608,50.19,22.0
5497,United States,Clerical,M,M,1,1,2,81043,53.58,52.0
5498,United Kingdom,Skilled Manual,M,S,0,0,0,60826,50.62,24.0
5499,United States,Professional,M,S,1,1,1,134147,55.07,57.0
5500,United States,Skilled Manual,M,M,1,0,2,62266,53.12,31.0
5501,Australia,Management,M,S,1,0,0,110005,58.01,32.0
5502,United States,Clerical,F,M,1,0,2,77491,49.8,52.0
5503,United States,Manual,F,M,1,0,2,27588,45.35,40.0
5504,United States,Skilled Manual,F,M,1,1,1,60377,52.88,39.0
5505,United States,Skilled Manual,F,S,1,0,0,57407,52.6,40.0
5506,France,Manual,F,S,0,0,0,27733,48.79,33.0
5507,United States,Clerical,F,S,1,0,1,85374,52.84,61.0
5508,Canada,Skilled Manual,F,M,1,0,2,55576,48.16,48.0
5509,United States,Management,F,M,1,0,0,112877,51.4,23.0
5510,Canada,Manual,F,M,1,0,2,32932,46.1,54.0
5511,United Kingdom,Management,M,M,1,1,2,112251,63.12,38.0
5512,United States,Clerical,F,M,1,0,1,77388,49.76,32.0
5513,Australia,Manual,M,M,1,2,2,26600,57.67,44.0
5514,Australia,Professional,M,S,1,0,0,131987,59.59,33.0
5515,Australia,Skilled Manual,F,S,0,0,0,52897,48.75,27.0
5516,United States,Management,M,M,1,1,2,104565,53.09,65.0
5517,United States,Management,F,M,1,0,0,109115,50.98,27.0
5518,United States,Manual,F,M,1,0,2,35145,46.5,37.0
5519,United States,Management,F,M,1,0,2,106362,51.83,26.0
5520,United States,Clerical,F,M,1,1,1,80929,49.79,30.0
5521,France,Skilled Manual,M,M,1,1,1,57815,56.24,38.0
5522,Australia,Professional,F,S,1,0,0,128944,55.49,38.0
5523,Australia,Manual,M,S,0,0,0,35497,47.62,22.0
5524,United States,Clerical,F,S,0,0,0,87189,54.38,22.0
5525,United States,Clerical,M,S,0,0,0,76739,52.59,20.0
5526,Germany,Management,F,M,1,1,2,111970,55.27,29.0
5527,Australia,Management,F,S,1,0,0,108543,51.88,32.0
5528,United Kingdom,Manual,M,M,1,0,3,34414,46.9,84.0
5529,United Kingdom,Manual,F,M,0,1,2,35150,47.4,27.0
5530,Canada,Management,M,M,1,2,2,113466,55.31,27.0
5531,France,Management,M,M,1,0,0,105189,59.64,35.0
5532,United States,Skilled Manual,M,S,1,1,1,55821,49.48,55.0
5533,Australia,Skilled Manual,F,S,1,0,1,56120,49.05,53.0
5534,Australia,Manual,F,M,0,1,2,29004,48.34,24.0
5535,United States,Clerical,M,M,0,0,0,76807,50.43,18.0
5536,United States,Management,F,M,1,1,2,111810,52.37,40.0
5537,United Kingdom,Skilled Manual,M,M,1,1,2,60814,54.64,48.0
5538,United States,Skilled Manual,F,M,1,0,2,58312,48.4,42.0
5539,United States,Skilled Manual,F,S,1,0,0,60405,51.24,43.0
5540,United States,Management,F,M,1,3,3,111357,50.94,59.0
5541,Australia,Manual,F,M,0,0,0,29842,45.61,21.0
5542,Australia,Professional,F,S,1,0,0,136302,53.22,30.0
5543,United States,Manual,M,M,1,1,2,28244,50.89,36.0
5544,United States,Clerical,M,M,1,0,3,78236,50.46,67.0
5545,France,Clerical,M,S,0,0,0,79790,49.68,23.0
5546,Germany,Skilled Manual,M,S,0,0,0,59045,49.38,27.0
5547,Australia,Skilled Manual,F,M,1,0,1,60284,48.9,45.0
5548,Germany,Clerical,M,S,0,0,0,86019,50.18,28.0
5549,United States,Manual,F,M,1,0,2,30258,46.04,41.0
5550,Australia,Clerical,M,M,1,0,1,84565,53.68,37.0
5551,United States,Manual,F,S,0,0,0,29182,49.56,31.0
5552,United States,Skilled Manual,F,S,0,0,0,57624,51.04,28.0
5553,Canada,Skilled Manual,M,M,1,0,2,61165,50.07,48.0
5554,United States,Clerical,M,M,1,0,2,84942,51.93,40.0
5555,France,Management,M,M,1,1,2,111420,58.02,39.0
5556,United States,Manual,F,M,1,1,2,33584,48.52,44.0
5557,United States,Professional,F,S,1,0,0,129404,55.85,35.0
5558,Canada,Management,F,S,0,0,0,110706,55.39,28.0
5559,Canada,Clerical,F,M,1,1,1,77605,52.47,36.0
5560,United States,Management,M,M,1,1,2,110162,54.67,64.0
5561,United States,Clerical,F,S,0,0,0,79806,52.78,18.0
5562,United States,Management,M,S,1,0,0,109574,62.94,36.0
5563,United States,Skilled Manual,F,S,1,0,0,59299,48.79,43.0
5564,United States,Management,F,S,1,0,0,106716,50.75,36.0
5565,United Kingdom,Skilled Manual,M,S,0,0,0,55036,51.78,26.0
5566,Australia,Professional,M,S,1,0,0,133707,61.78,30.0
5567,Australia,Clerical,F,M,1,2,2,82619,50.87,36.0
5568,United States,Clerical,M,M,1,0,2,78915,49.69,61.0
5569,Australia,Skilled Manual,F,M,0,1,2,60907,48.94,26.0
5570,Germany,Manual,M,S,0,0,0,31652,50.01,21.0
5571,Australia,Clerical,M,M,1,0,2,81465,52.06,46.0
5572,Australia,Skilled Manual,M,M,1,1,2,53738,56.6,41.0
5573,United Kingdom,Professional,F,M,1,0,2,135957,52.9,33.0
5574,Australia,Clerical,F,S,1,0,0,77501,53.78,41.0
5575,Germany,Clerical,F,S,0,0,0,82665,49.86,24.0
5576,Australia,Clerical,F,M,1,2,2,79131,50.63,37.0
5577,United Kingdom,Manual,M,S,0,0,0,25771,47.86,18.0
5578,United Kingdom,Skilled Manual,F,S,0,0,0,61852,52.9,29.0
5579,Canada,Skilled Manual,M,M,0,0,0,61979,49.01,22.0
5580,United States,Clerical,F,M,1,1,2,87322,53.05,56.0
5581,United States,Manual,M,S,0,0,0,31105,50.31,43.0
5582,United Kingdom,Skilled Manual,M,S,0,0,0,53486,52.27,22.0
5583,Germany,Management,M,S,0,0,0,102596,51.06,25.0
5584,Australia,Manual,M,S,0,0,0,27521,54.24,42.0
5585,Australia,Management,M,M,1,0,2,111483,51.62,57.0
5586,United States,Clerical,M,S,1,0,0,79624,58.06,40.0
5587,Australia,Clerical,M,M,1,1,2,81740,53.85,35.0
5588,France,Skilled Manual,M,S,0,0,0,60246,49.73,25.0
5589,United States,Professional,F,M,1,1,2,129970,55.06,50.0
5590,United States,Manual,F,M,1,1,2,34725,49.63,53.0
5591,France,Management,M,M,1,1,2,109788,52.24,40.0
5592,France,Skilled Manual,M,M,1,2,3,61827,52.16,56.0
5593,United States,Clerical,F,M,0,0,0,80475,49.88,17.0
5594,United States,Manual,M,M,1,1,2,26708,48.49,42.0
5595,United States,Clerical,M,S,0,0,0,81038,53.55,26.0
5596,Australia,Skilled Manual,M,M,0,0,0,55362,48.07,21.0
5597,Germany,Skilled Manual,F,M,1,1,1,51081,52.8,31.0
5598,France,Skilled Manual,F,S,0,0,0,51908,48.82,20.0
5599,United States,Skilled Manual,M,S,0,0,0,57471,56.29,31.0
5600,United States,Skilled Manual,M,M,1,1,2,56724,57.58,47.0
5601,United States,Manual,M,M,1,1,2,29123,46.17,50.0
5602,United States,Skilled Manual,F,S,1,0,0,62061,51.74,44.0
5603,Germany,Skilled Manual,M,S,0,0,0,56952,50.04,19.0
5604,United States,Skilled Manual,M,S,1,0,0,58427,49.61,40.0
5605,Germany,Management,F,M,1,1,1,102731,52.65,40.0
5606,United States,Skilled Manual,F,M,0,0,1,57277,48.38,28.0
5607,United States,Clerical,F,S,0,0,0,87323,52.1,20.0
5608,Australia,Skilled Manual,M,S,0,0,0,61523,54.17,38.0
5609,Germany,Management,M,S,0,0,0,112395,53.7,19.0
5610,Australia,Skilled Manual,F,M,1,1,2,59814,49.6,49.0
5611,United States,Clerical,M,M,1,1,2,82065,54.21,36.0
5612,United States,Manual,F,S,0,0,0,28561,50.23,41.0
5613,Australia,Skilled Manual,M,M,1,0,1,58252,56.91,36.0
5614,United Kingdom,Skilled Manual,M,S,0,0,0,54089,51.71,28.0
5615,France,Skilled Manual,F,S,0,0,0,58785,49.56,20.0
5616,Germany,Manual,M,M,0,1,1,32551,49.9,28.0
5617,United States,Clerical,F,M,1,1,2,80695,51.48,39.0
5618,United States,Skilled Manual,F,S,0,0,0,54075,50.32,22.0
5619,Germany,Skilled Manual,M,S,0,0,0,51989,54.33,38.0
